#,Job Title,Company,Location,Salary,Posted Date,Source,URL,Status
32,(Remote) AI Engineer,Harris,US,"$125,871 - $125,871",2025-10-16T09:26:13Z,Adzuna,https://www.adzuna.com/details/5450406132?utm_medium=api&utm_source=b57ea8de,Not Applied
33,(Remote) AI Engineer,N. Harris Computer Corporation - CAD,"Air Park, Lancaster County","$140,000 - $140,000",2025-10-16T15:47:03Z,Adzuna,https://www.adzuna.com/details/5450748632?utm_medium=api&utm_source=b57ea8de,Not Applied
34,AI Engineer (Hybrid),RTX,"Hanoverton, Columbiana County",Not specified,2025-10-16T09:49:04Z,Adzuna,https://www.adzuna.com/details/5450426841?utm_medium=api&utm_source=b57ea8de,Not Applied
35,"Director, AI Engineering ( Remote)",Jobgether,US,"$239,000 - $273,000",2025-10-15T07:44:25Z,Adzuna,https://www.adzuna.com/details/5448271136?utm_medium=api&utm_source=b57ea8de,Not Applied
36,AI Engineer (Remote - US),Jobgether,US,"$156,857 - $156,857",2025-10-16T07:46:08Z,Adzuna,https://www.adzuna.com/details/5450063980?utm_medium=api&utm_source=b57ea8de,Not Applied
37,Staff AI Engineer - Graphing,Datadog,"Boston, Suffolk County","$120,759 - $120,759",2025-10-15T10:40:06Z,Adzuna,https://www.adzuna.com/details/5448648401?utm_medium=api&utm_source=b57ea8de,Not Applied
38,Senior AI Engineer (Backend & AI Systems),GTT,US,"$100,000 - $120,000",2025-10-15T07:39:34Z,Adzuna,https://www.adzuna.com/details/5448268892?utm_medium=api&utm_source=b57ea8de,Not Applied
39,Senior AI Engineer (Remote - US),Jobgether,US,"$178,000 - $267,000",2025-10-16T09:14:26Z,Adzuna,https://www.adzuna.com/details/5450398176?utm_medium=api&utm_source=b57ea8de,Not Applied
40,AI Engineer - Front-End & UX,OneStream,"Fort Lauderdale, Broward County","$142,086 - $142,086",2025-10-15T12:36:13Z,Adzuna,https://www.adzuna.com/details/5448778951?utm_medium=api&utm_source=b57ea8de,Not Applied
41,Data Scientist,Booz Allen Hamilton,"Arlington, Arlington County","$99,000 - $225,000",2025-10-15T08:22:11Z,Adzuna,https://www.adzuna.com/details/5448317351?utm_medium=api&utm_source=b57ea8de,Not Applied
42,Data Scientist,Jerry.ai,"Palo Alto, Santa Clara County","$100,000 - $130,000",2025-10-16T13:25:42Z,Adzuna,https://www.adzuna.com/details/5450629675?utm_medium=api&utm_source=b57ea8de,Not Applied
43,Data Scientist,Divisions Maintenance Group,"Cincinnati, Hamilton County","$110,635 - $110,635",2025-10-16T09:36:11Z,Adzuna,https://www.adzuna.com/details/5450416298?utm_medium=api&utm_source=b57ea8de,Not Applied
44,Data Scientist,CoinFlip,"Chicago, Cook County","$91,633 - $108,480",2025-10-16T06:32:19Z,Adzuna,https://www.adzuna.com/details/5450006531?utm_medium=api&utm_source=b57ea8de,Not Applied
45,Data Scientist,Insulet Corporation,US,"$96,600 - $144,900",2025-10-15T12:37:11Z,Adzuna,https://www.adzuna.com/details/5448779608?utm_medium=api&utm_source=b57ea8de,Not Applied
46,Data Scientist,Absolute Business Solutions Corp,"Herndon, Fairfax County","$75,000 - $150,000",2025-10-16T09:44:56Z,Adzuna,https://www.adzuna.com/details/5450423427?utm_medium=api&utm_source=b57ea8de,Not Applied
47,Data Scientist,Guidehouse,"Arlington, Arlington County","$138,402 - $138,402",2025-10-15T08:50:34Z,Adzuna,https://www.adzuna.com/details/5448598792?utm_medium=api&utm_source=b57ea8de,Not Applied
48,Data Scientist,Berkeley Lab,US,"$156,864 - $191,724",2025-10-16T08:46:10Z,Adzuna,https://www.adzuna.com/details/5450366608?utm_medium=api&utm_source=b57ea8de,Not Applied
