#,Job Title,Company,Location,Salary,Posted Date,Source,URL,Status
36,Senior Data Scientist,APPIC Solutions,"Castlewood, Centennial","$110,000 - $130,000",2025-10-15T23:50:01Z,Adzuna,https://www.adzuna.com/details/5449656824?utm_medium=api&utm_source=b57ea8de,Not Applied
37,Principal Data Scientist,Dell,"Round Rock, Williamson County","$192,000 - $248,000",2025-10-16T08:14:34Z,Adzuna,https://www.adzuna.com/details/5450084945?utm_medium=api&utm_source=b57ea8de,Not Applied
38,"Data Scientist, Mid",Booz Allen Hamilton,"Mc Lean, Fairfax County","$77,600 - $176,000",2025-10-16T09:33:56Z,Adzuna,https://www.adzuna.com/details/5450415448?utm_medium=api&utm_source=b57ea8de,Not Applied
39,"Senior, Data Scientist",Walmart,"Sunnyvale, Santa Clara County","$90,000 - $180,000",2025-10-16T12:47:23Z,Adzuna,https://www.adzuna.com/details/5450599049?utm_medium=api&utm_source=b57ea8de,Not Applied
40,Data Scientist - Specialist,Equifax,"Atlanta, Fulton County","$124,467 - $124,467",2025-10-15T11:30:21Z,Adzuna,https://www.adzuna.com/details/5448723990?utm_medium=api&utm_source=b57ea8de,Not Applied
41,IT Data Warehouse Engineer,"Frank, Rimerman + Co. LLP",US,"$107,571 - $107,571",2025-10-16T05:51:24Z,Adzuna,https://www.adzuna.com/details/5449974360?utm_medium=api&utm_source=b57ea8de,Not Applied
42,Staff Data Warehouse Engineer,BILL,"San Jose, Santa Clara County","$96,962 - $96,962",2025-10-16T10:54:45Z,Adzuna,https://www.adzuna.com/details/5450450960?utm_medium=api&utm_source=b57ea8de,Not Applied
43,Staff Data Warehouse Engineer,BILL,"Draper, Salt Lake County","$94,033 - $94,033",2025-10-16T11:31:21Z,Adzuna,https://www.adzuna.com/details/5450495021?utm_medium=api&utm_source=b57ea8de,Not Applied
44,Staff Data Warehouse Engineer (Remote - US),Jobgether,US,"$109,236 - $109,236",2025-10-16T09:14:26Z,Adzuna,https://www.adzuna.com/details/5450398172?utm_medium=api&utm_source=b57ea8de,Not Applied
45,Sr. Software Engineer - Hive,Cloudera,"Austin, Travis County","$225,914 - $225,914",2025-10-15T12:03:40Z,Adzuna,https://www.adzuna.com/details/5448763909?utm_medium=api&utm_source=b57ea8de,Not Applied
46,Warehouse Lead Industrial Engineer,Ryder,"Spring Hill, Hernando County","$96,147 - $96,147",2025-10-15T10:52:47Z,Adzuna,https://www.adzuna.com/details/5448653779?utm_medium=api&utm_source=b57ea8de,Not Applied
47,Warehouse Lead Industrial Engineer,Ryder,US,"$98,950 - $98,950",2025-10-15T10:10:44Z,Adzuna,https://www.adzuna.com/details/5448640347?utm_medium=api&utm_source=b57ea8de,Not Applied
48,Warehouse Sr. Industrial Engineer,Ryder,US,"$104,355 - $104,355",2025-10-15T12:22:00Z,Adzuna,https://www.adzuna.com/details/5448771531?utm_medium=api&utm_source=b57ea8de,Not Applied
49,Senior Data Architect,BOEING,"Seattle, King County","$106,250 - $179,000",2025-10-15T09:51:19Z,Adzuna,https://www.adzuna.com/details/5448636984?utm_medium=api&utm_source=b57ea8de,Not Applied
50,Data Center Engineering Operations Technician,Amazon,"Hermiston, Umatilla County","$59,600 - $133,200",2025-10-16T06:30:26Z,Adzuna,https://www.adzuna.com/details/5450005725?utm_medium=api&utm_source=b57ea8de,Not Applied
